"filename", "language", "Vue.js", "JavaScript", "CSS", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\Home.vue", "Vue.js", 36, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\HomePage.vue", "Vue.js", 127, 0, 0, 0, 0, 0, 3, 4, 134
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\Login.vue", "Vue.js", 191, 0, 0, 0, 0, 0, 4, 3, 198
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\Manage.vue", "Vue.js", 1036, 0, 0, 0, 0, 0, 9, 18, 1063
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\ModelSelection.vue", "Vue.js", 296, 0, 0, 0, 0, 0, 3, 9, 308
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\QuestionnaireEditor.vue", "Vue.js", 1731, 0, 0, 0, 0, 0, 8, 68, 1807
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\Register.vue", "Vue.js", 221, 0, 0, 0, 0, 0, 7, 3, 231
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\Test.vue", "Vue.js", 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\TestDrag.vue", "Vue.js", 75, 0, 0, 0, 0, 0, 13, 4, 92
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\TestIp.vue", "Vue.js", 46, 0, 0, 0, 0, 0, 9, 160, 215
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\TypeSelection.vue", "Vue.js", 336, 0, 0, 0, 0, 0, 0, 8, 344
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\UserInformation.vue", "Vue.js", 352, 0, 0, 0, 0, 0, 4, 17, 373
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\src\views\VotingResult.vue", "Vue.js", 145, 0, 0, 0, 0, 0, 0, 10, 155
"c:\Users\CharlotFirth\Desktop\study\2021Autumn\小学期\front\vue.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"Total", "-", 9066, 424, 168, 52, 29, 13759, 172, 655, 24325
